UniqueID;IndicatorID;Name;Measure;MeasureInfo;GeoTypeName;GeoJoinID;GeoPlaceName;TimePeriod;Start_Date;DataValue;Message
336475;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Annual Average 2015;01/01/2015;19.97;
412412;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Winter 2015-16;12/01/2015;22.28;
412414;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Annual Average 2016;12/31/2015;18.42;
549746;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Annual Average 2017;01/01/2017;19.35;
549747;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Winter 2016-17;12/01/2016;26.37;
179353;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Summer 2011;06/01/2011;18.31;
179358;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Summer 2012;06/01/2012;17.02;
179363;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Summer 2013;06/01/2013;15.91;
179428;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Annual Average 2011;12/01/2010;22.73;
179208;383;Sulfur Dioxide (SO2);Mean;ppb;Borough;1;Bronx;Winter 2011-12;12/01/2011;3.43;
179433;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Annual Average 2012;12/01/2011;20.99;
211360;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Winter 2013-14;12/01/2013;25.87;
211375;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Summer 2014;06/01/2014;15.75;
179273;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Winter 2009-10;12/01/2009;24.39;
211390;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;1;Bronx;Annual Average 2014;12/01/2013;19.8;
405221;383;Sulfur Dioxide (SO2);Mean;ppb;Borough;1;Bronx;Winter 2015-16;12/01/2015;0.33;
179213;383;Sulfur Dioxide (SO2);Mean;ppb;Borough;1;Bronx;Winter 2012-13;12/01/2012;2.16;
411989;386;Ozone (O3);Mean;ppb;Borough;1;Bronx;Summer 2016;05/31/2016;33.09;
211379;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Summer 2014;06/01/2014;9.26;
412426;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Annual Average 2016;12/31/2015;13.47;
602699;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Annual Average 2018;01/01/2018;12.92;
602701;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Winter 2017-18;12/01/2017;18.92;
179437;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Annual Average 2012;12/01/2011;14.54;
211394;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Annual Average 2014;12/01/2013;14.18;
412424;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Winter 2015-16;12/01/2015;18.07;
179272;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Winter 2008-09;12/01/2008;21.63;
179352;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Summer 2010;06/01/2010;12.03;
179367;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Summer 2013;06/01/2013;10.01;
336489;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Winter 2014-15;12/01/2014;19.75;
549757;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Summer 2017;06/01/2017;9.45;
549758;375;Nitrogen Dioxide (NO2);Mean;ppb;Borough;5;Staten Island;Annual Average 2017;01/01/2017;13.37;
