Name;GeoPlaceName;Start_Date;DataValue
Nitrogen Dioxide (NO2);Bronx;01/01/2015;19.97
Nitrogen Dioxide (NO2);Bronx;12/01/2015;22.28
Nitrogen Dioxide (NO2);Bronx;12/31/2015;18.42
Nitrogen Dioxide (NO2);Bronx;01/01/2017;19.35
Nitrogen Dioxide (NO2);Bronx;12/01/2016;26.37
Nitrogen Dioxide (NO2);Bronx;06/01/2011;18.31
Nitrogen Dioxide (NO2);Bronx;06/01/2012;17.02
Nitrogen Dioxide (NO2);Bronx;06/01/2013;15.91
Nitrogen Dioxide (NO2);Bronx;12/01/2010;22.73
Sulfur Dioxide (SO2);Bronx;12/01/2011;3.43
Nitrogen Dioxide (NO2);Bronx;12/01/2011;20.99
Nitrogen Dioxide (NO2);Bronx;12/01/2013;25.87
Nitrogen Dioxide (NO2);Bronx;06/01/2014;15.75
Nitrogen Dioxide (NO2);Bronx;12/01/2009;24.39
Nitrogen Dioxide (NO2);Bronx;12/01/2013;19.8
Sulfur Dioxide (SO2);Bronx;12/01/2015;0.33
Sulfur Dioxide (SO2);Bronx;12/01/2012;2.16
Ozone (O3);Bronx;05/31/2016;33.09
Nitrogen Dioxide (NO2);Staten Island;06/01/2014;9.26
Nitrogen Dioxide (NO2);Staten Island;12/31/2015;13.47
Nitrogen Dioxide (NO2);Staten Island;01/01/2018;12.92
Nitrogen Dioxide (NO2);Staten Island;12/01/2017;18.92
Nitrogen Dioxide (NO2);Staten Island;12/01/2011;14.54
Nitrogen Dioxide (NO2);Staten Island;12/01/2013;14.18
Nitrogen Dioxide (NO2);Staten Island;12/01/2015;18.07
Nitrogen Dioxide (NO2);Staten Island;12/01/2008;21.63
Nitrogen Dioxide (NO2);Staten Island;06/01/2010;12.03
Nitrogen Dioxide (NO2);Staten Island;06/01/2013;10.01
Nitrogen Dioxide (NO2);Staten Island;12/01/2014;19.75
Nitrogen Dioxide (NO2);Staten Island;06/01/2017;9.45
Nitrogen Dioxide (NO2);Staten Island;01/01/2017;13.37
Nitrogen Dioxide (NO2);Staten Island;06/01/2018;8.23
Nitrogen Dioxide (NO2);Staten Island;12/01/2010;23.08
Nitrogen Dioxide (NO2);Staten Island;12/01/2012;19.13
Nitrogen Dioxide (NO2);Staten Island;06/01/2009;13.19
Nitrogen Dioxide (NO2);Staten Island;06/01/2011;11.57
Nitrogen Dioxide (NO2);Staten Island;06/01/2012;10.64
Nitrogen Dioxide (NO2);Staten Island;12/01/2012;13.8
Nitrogen Dioxide (NO2);Staten Island;12/01/2013;21.79
Nitrogen Dioxide (NO2);Staten Island;01/01/2015;13.72
Nitrogen Dioxide (NO2);Staten Island;12/01/2008;16.84
Nitrogen Dioxide (NO2);Staten Island;12/01/2009;15.35
Nitrogen Dioxide (NO2);Staten Island;12/01/2010;16.17
Nitrogen Dioxide (NO2);Staten Island;06/01/2015;8.85
Nitrogen Dioxide (NO2);Staten Island;05/31/2016;9.17
Nitrogen Dioxide (NO2);Staten Island;12/01/2016;18.72
Nitrogen Dioxide (NO2);Queens;06/01/2015;13.47
Nitrogen Dioxide (NO2);Queens;12/01/2015;22.45
Nitrogen Dioxide (NO2);Queens;01/01/2018;17.18
Nitrogen Dioxide (NO2);Queens;06/01/2018;12.52
Nitrogen Dioxide (NO2);Staten Island;12/01/2009;19.14
Nitrogen Dioxide (NO2);Staten Island;12/01/2011;17.93
Nitrogen Dioxide (NO2);Queens;01/01/2017;17.85
Nitrogen Dioxide (NO2);Queens;12/01/2016;24.83
Nitrogen Dioxide (NO2);Queens;12/01/2011;22.62
Nitrogen Dioxide (NO2);Queens;12/01/2008;22.19
Nitrogen Dioxide (NO2);Queens;12/01/2011;19.41
Nitrogen Dioxide (NO2);Queens;12/01/2013;26.84
Nitrogen Dioxide (NO2);Queens;06/01/2011;17.04
Nitrogen Dioxide (NO2);Queens;12/01/2012;18.71
Nitrogen Dioxide (NO2);Queens;12/01/2013;18.93
Nitrogen Dioxide (NO2);Queens;12/01/2014;23.93
Nitrogen Dioxide (NO2);Queens;05/31/2016;13.08
Nitrogen Dioxide (NO2);Queens;06/01/2017;13.42
Nitrogen Dioxide (NO2);Queens;12/01/2010;21.47
Nitrogen Dioxide (NO2);Queens;12/01/2008;27.86
Nitrogen Dioxide (NO2);Queens;12/01/2009;25.02
Nitrogen Dioxide (NO2);Queens;12/01/2012;22.84
Nitrogen Dioxide (NO2);Queens;06/01/2009;18.15
Nitrogen Dioxide (NO2);Queens;06/01/2010;17.42
Nitrogen Dioxide (NO2);Queens;12/01/2009;21.01
Nitrogen Dioxide (NO2);Queens;06/01/2014;13.66
Nitrogen Dioxide (NO2);Queens;01/01/2015;18.51
Nitrogen Dioxide (NO2);Queens;12/31/2015;17.65
Nitrogen Dioxide (NO2);Queens;12/01/2017;23.47
Nitrogen Dioxide (NO2);Queens;12/01/2010;28.32
Nitrogen Dioxide (NO2);Manhattan;12/01/2015;27.51
Nitrogen Dioxide (NO2);Manhattan;05/31/2016;20.56
Nitrogen Dioxide (NO2);Manhattan;01/01/2017;24.55
Nitrogen Dioxide (NO2);Manhattan;01/01/2018;23.43
Nitrogen Dioxide (NO2);Queens;06/01/2012;15.84
Nitrogen Dioxide (NO2);Queens;06/01/2013;15.6
